Name,Description,Category,Installs,Score,No_of_Rating,InApp_Products_Price,Min_Product_Price,Max_Product_Price,Size,Ads,Last Update,Price,IAP,Android,Permissions
Waplog - Dating App to Chat & Meet New People 26,"Best dating app to video chat, send voice messages and meet local singles 💑",Social,"10,000,000",4.3,"704,474",$0.99 - $189.99 per item,0.99,189.99,29,yes,Fri Jan 15 2021,Free,yes,4.3,15
Woo - The Dating App Women Love 101,"Find, Chat, Meet and make Meaningful Connections on South Asia’s Best Dating App",Lifestyle,"10,000,000",4.2,"105,112",$0.99 - $144.99 per item,0.99,144.99,41,no,Wed Jan 20 2021,Free,yes,5,18
Zoosk - Online Dating App to Meet New People 29,"Best Online Dating App ❤ Match, chat & send virtual gifts to singles near you",Dating,"10,000,000",3.6,"601,072",$0.99 - $179.99 per item,0.99,179.99,,yes,Tue Jan 05 2021,Free,yes,-,19
"hi5 - meet, chat & flirt 75",The best app to chat and flirt. Meet new people FAST and FREE!,Social,"10,000,000",4.4,"139,433",$4.99 - $199.99 per item,4.99,199.99,55,yes,Fri Dec 11 2020,Free,yes,4.2,26
Dating for serious relationships - Evermatch 28,"An app for serious relationships, getting married, and settling down.",Dating,"5,000,000",4.2,"34,707",$4.49 - $139.00 per item,4.49,139.00,24,yes,Tue Dec 29 2020,Free,yes,5,15
"FastMeet: Chat, Dating, Love 54",FastMeet - free online dating to find singles nearby! Chat and date for free!,Dating,"5,000,000",4.1,"42,627",$1.99 - $74.99 per item,1.99,74.99 ,14,yes,Thu Jan 21 2021,Free,yes,4.1,15
Free Dating 63,Free dating app to chat & meet new people,Social,"5,000,000",4.3,"53,605",$4.40 - $220.00 per item,4.40,220.00,27,yes,Tue Jan 26 2021,Free,yes,4.4,16
Hinge - Dating & Relationships 13,Designed to be Deleted,Dating,"5,000,000",3.5,"140,196",$0.99 - $119.99 per item,0.99,119.99,,no,Wed Jan 27 2021,Free,yes,5,17
Jack’d - Gay Chat & Dating 100,"Gay dates, chat, & connections",Social,"5,000,000",3,"114,158",$1.00 - $59.99 per item,1.00,59.99 ,,yes,Tue Jan 12 2021,Free,yes,5,20
"LP: Dating Cam, Video Chat & Live Talk 95",Meet strangers & Make new acquaintances. Live Stream,Dating,"5,000,000",4,"67,813",$0.99 - $40.99 per item,0.99,40.99 ,17,yes,Thu Jan 28 2021,Free,yes,4.1,20
"Meet4U - Chat, Love, Singles! 42",Free online dating to find singles nearby! Join now and chat for free!,Dating,"5,000,000",4.1,"60,969",$1.99 - $74.99 per item,1.99,74.99 ,14,yes,Thu Jan 21 2021,Free,yes,4.1,15
Meetville - Meet New People Online. Dating App 59,Don't wait forever to meet someone. Start chatting NOW and go on a date!,Dating,"5,000,000",3.9,"37,060",$2.99 - $189.99 per item,2.99,189.99,32,no,Tue Jan 26 2021,Free,yes,5,13
"Mingle2 Free Online Dating App - Chat, Date, Meet 19",Over 20 Million singles! Best dating apps for free to meet single women and men,Dating,"5,000,000",4.4,"196,122",$0.99 - $69.99 per item,0.99,69.99 ,23,yes,Mon Jan 25 2021,Free,yes,5,22
"QuackQuack Dating App in India – Meet, Chat, Date 108",The dating app in India to meet local singles online to match and date,Lifestyle,"5,000,000",4.2,"301,096",$0.99 - $366.00 per item,0.99,366.00,15,yes,Tue Jan 19 2021,Free,yes,5,13
SCRUFF 107,Gay chat & match,Social,"5,000,000",3.9,"97,030",$1.00 - $159.99 per item,1.00,159.99,,yes,Tue Jan 12 2021,Free,yes,5,20
eharmony – the dating app made for real love 56,"Start dating, learn about yourself and fall in love with a compatible partner",Dating,"5,000,000",3,"41,678",$94.99 - $399.99 per item,4.99,399.99,68,no,Fri Jan 22 2021,Free,yes,5.1,18
2Steps: Dating App & Chat 91,"Real meet up, date and chat",Social,"1,000,000",4.4,"23,735",$0.99 - $79.99 per item,0.99,79.99 ,50,yes,Thu Jan 14 2021,Free,yes,4.4,12
Ace Dating - video chat live 112,Ace Date app - the Easiest way to Say 'Hi' and Meet New Friends in Live & Life,Dating,"1,000,000",3.7,"9,476",$0.99 - $377.46 per item,0.99,377.46,70,yes,Thu Nov 12 2020,Free,yes,4.4,21
Aisle — Dating App For Indians 115,The most vibrant community of Indian singles on the internet.,Lifestyle,"1,000,000",4.5,"79,346",$1.99 - $62.40 per item,1.99,62.40 ,46,yes,Sun Jan 10 2021,Free,yes,5,16
BLK - Meet Black singles nearby! 49,"A fun, easy-to use dating app for Black men and Black women.",Dating,"1,000,000",4.2,"52,100",$1.99 - $47.99 per item,1.99,47.99 ,49,yes,Thu Jan 28 2021,Free,yes,5,13
Chispa - Dating for Latinos 51,"A fun, easy-to-use dating app for Latinos and Latinas.",Dating,"1,000,000",4.3,"45,853",$1.99 - $47.99 per item,1.99,47.99 ,54,yes,Thu Jan 28 2021,Free,yes,5,13
Christian Dating For Free App - CDFF 55,♥ World's Largest 100% FREE Christian Dating App. Meet Christian Singles Today!,Dating,"1,000,000",4.1,"22,680",$0.99 - $49.99 per item,0.99,49.99 ,10,yes,Mon Jan 18 2021,Free,yes,4.1,11
Clover Dating App 21,"From friends to dates, meeting new people on Clover is easy, fun, and instant.",Dating,"1,000,000",3.9,"43,245",$0.99 - $149.99 per item,0.99,149.99,71,no,Tue Jan 19 2021,Free,yes,4.4,17
Coffee Meets Bagel Free Dating App 22,Meet the original anti-swiping app (that’s us 👋),Dating,"1,000,000",3.9,"85,137",$0.99 - $179.99 per item,0.99,179.99,92,no,Wed Jan 27 2021,Free,yes,6,15
Cougar - Mature Women Dating 70,Adult & Mature Women Hook Up,Dating,"1,000,000",3.6,"9,104",$0.99 - $399.99 per item,0.99,399.99,69,yes,Tue Nov 24 2020,Free,yes,7,17
Cougar Dating App: Seeking Sugar Momma Older Women 23,"Cougar Life: Date Hook Up Mature Mummy, Meet Silver Singles, Adult Milf Finder",Dating,"1,000,000",4.2,"6,284",$0.99 - $109.99 per item,0.99,109.99,,no,Wed Dec 02 2020,Free,yes,5,18
DOWN Hookup App! Meet Hot 18+ Adult: Dating & Chat 47,#1 Anonymous HOOKUP APP FOR SEXY SINGLES 🌶 7 million ppl swiping for casual fun,Dating,"1,000,000",3.8,"72,786",$1.99 - $84.99 per item,1.99,84.99 ,84,no,Sun Jan 24 2021,Free,yes,5,15
"Date Way- Dating App to Chat, Flirt & Meet Singles 71",Join the best chat and dating app! Find your soulmate and meet great friends!,Dating,"1,000,000",4.2,"68,193",$0.99 - $194.99 per item,0.99,194.99,,yes,Thu Jan 07 2021,Free,yes,-,15
Date-me - Free Dating 77,"The free dating app. Chat, flirt, meet singles and find love or your next date",Social,"1,000,000",3.3,"7,956",$1.99 - $84.99 per item,1.99,84.99 ,35,yes,Fri Jan 24 2020,Free,no,4.1,17
Dating for 50 plus Mature Singles – FINALLY 78,Senior Dating App For Silver Singles 50+ ❤️ Rediscover Mature Dating Over 50,Dating,"1,000,000",4.5,"4,566",$1.49 - $49.99 per item,1.49,49.99 ,41,yes,Fri Nov 13 2020,Free,yes,5,14
"Dating, Meet Curvy Singles. Match & Date @ WooPlus 16",Free join WooPlus dating app to match with our 5M+ singles. Chat & Meet Online,Dating,"1,000,000",4.4,"39,504",$0.99 - $119.99 per item,0.99,119.99,39,no,Thu Jan 21 2021,Free,yes,5,15
Feeld: Dating & Online Chat For Couples & Singles 79,Chat & connect on alternative dating platform for bisexual women and couples.,Dating,"1,000,000",2.4,"8,102",$1.99 - $124.99 per item,1.99,124.99,39,no,Thu Jan 21 2021,Free,yes,5,20
"Her - Lesbian Dating, Free Chat & Meet with LGBTQ+ 40","Social Network & Free Dating App for gay, bisexual and queer womxn.",Social,"1,000,000",3.7,"7,762",$0.99 - $179.99 per item,0.99,179.99,25,yes,Mon Jan 25 2021,Free,yes,5,14
InDating - new dating 15,"App for finding new people for friendship, chatting and relationships.",Dating,"1,000,000",4.3,"18,897",$0.99 - $4.49 per item,0.99,4.49 ,10,yes,Wed Oct 07 2020,Free,yes,4.0.3,7
Just Say Hi Online Dating App. Chat & Meet Singles 99,"Millions Of Singles! Make New Friends, Find Dates, Perfect Match & Local Singles",Lifestyle,"1,000,000",4,"9,429",$0.99 - $59.99 per item,0.99,59.99 ,26,yes,Thu Dec 10 2020,Free,yes,5,16
MOOQ - Free Dating App & Flirt and Chat 83,"Chat, dating and meeting TOTALLY FREE",Dating,"1,000,000",4.4,"21,815",NA,0,0,8.8,yes,Sun Nov 01 2020,Free,no,4.1,14
Mequeres - Free Dating App & Flirt and Chat 81,"Chat, dating and meeting TOTALLY FREE!",Dating,"1,000,000",4.4,"39,097",NA,0,0,8.7,yes,Sun Nov 29 2020,Free,no,4.1,14
"Mingle Dating App - Free Chat, Date & Meet Online 52","Best app to meet new people, find dates & chat online with millions of singles!",Social,"1,000,000",4,"22,383",$0.99 - $59.99 per item,0.99,59.99 ,26,yes,Thu Dec 10 2020,Free,yes,5,16
"PURE Hookup 🌶 anonymous chat 💋 dating, flirt 18+ 46",One night casual hook up dating 🔥 date nearby and meet new people in local chat,Dating,"1,000,000",4.5,"48,705",$1.00 - $79.99 per item,1.00,79.99 ,73,no,Fri Jan 22 2021,Free,yes,5,17
